,�..Serial.No,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Sentiment,Theme,Flavor,sub.theme,After Effect,Cooking time,Flavor/Taste,Nutrition,Packaging,Price,Texture,Max,match,Predicted Theme,set,,,
1,1,66,B005DUM9UQ,XXX,XXX,1,1,5,1331510400,Great for preventing cramps,This stuff really works for preventing cramping during the middle to latter stages of your rides. Pop 1 into each water bottle and you're set. Flavor is fine and goes down easy.,Positive,Beverage Taste,Sweet,After Effect,0.208122926,0.133887986,0.093450028,0.092693491,0.035428159,0.086087881,0.080179463,0.208122926,1,After Effect,Train,,,
2,2,255,B0048IC328,XXX,XXX,1,3,1,1339804800,Don't Waste Your Money,"I felt energized within five minutes, but it lasted for about 45 minutes. I paid $3.99 for this drink. I could have just drunk a cup of coffee and saved my money.",Negative,Beverage Caffeine,,After Effect,0.284904032,0.058595682,0.103884895,0.071464839,0.045551825,0.11303472,0.035736757,0.284904032,1,After Effect,Train,,,
3,3,1578,B001CWZXIY,XXX,XXX,3,3,2,1310860800,Didn't do well for my dog,I was giving my shihtzu the Fromm Adult Gold dog food. She didn't seem to want to eat it though so I thought I would try something different. I found the Harmony Farms and thought I'd give it a try. She actually liked it. It's cheaper then the other food and it seemed to contain really healthy ingredients. I couldn't believe how she gobbled this up. BUT after having her on this for a week she developed a rash on her stomach. Took her off and the rash went away completely in 2 days. Her hair also wasn't as soft. This kibble did not do well for her.,Negative,Pet Food,,After Effect,0.252033077,0.069895824,0.129493163,0.168024936,0.110061708,0.096113887,0.078935456,0.252033077,1,After Effect,Train,,,
4,4,2397,B0089SPDUW,XXX,XXX,1,1,5,1338336000,Like it but hard to find,This is one of my favorites.  It's smooth and rich and not too strong for morning but also bold enough that if I like a cup in the afternoon it will do for that too.  My only problem is that I can never find it locally - I almost always have to get it online which is usually more expensive.  I've tried the Obsidian as a substitute and I don't like that one quite as much as the Mahogany.,Positive,Beverage,,After Effect,0.324844153,0.104690178,0.252380667,0.182084003,0.145913036,0.168210758,0.138331804,0.324844153,1,After Effect,Train,,1,After Effect
5,5,3594,B001QEF4XC,XXX,XXX,4,4,5,1325203200,"Good food, good price","We purchase this food for our two boxers and great dane. The dane has an allergy to chicken and one of the boxers has a weak stomach, so this food is perfect for them. All three dogs love it (even the picky one) and it seems to agree with their digestive tracts more than any other dog food that we've tried (I can't begin to tell you how pleased I am about THAT). I did a lot of research to find a quality food that isn't full of filler and won't break the bank. I am 100% pleased with this food, more so than any of the other more expensive brands that I've tried.",Positive,Pet Food,,After Effect,0.275964297,0.086774579,0.179454142,0.151138225,0.125637177,0.162137562,0.179580744,0.275964297,1,After Effect,Train,,2,Cooking time
6,6,4917,B0009JMW1C,XXX,XXX,0,0,3,1347062400,Benefit hard to determine,"I've suffered from recurrent bouts of acute sinusitis that have only become worse and worse over the years. Every time I get an infection, my right maxillary sinus swells up like a balloon. Sleeping at night on account of this condition is terribly difficult; I often have to resort to using Afrin to decongest my sinuses, which is effective but also very painful and not a realistic, long term solution because of rebound congestion. Now I already irrigate with a motorized system, often upwards of 8-10X daily when I'm sick, and drinking herbal tea has also become a pasttime to help cope with my sinus disease. That being said, I bought this tea out of sheer desperation. I'll try (and have tried) next to anything to give myself some relief while I wait for antibiotics to take effect. The only thing which I find works even close to as well as Afrin is to megadose on Psuedoephedrine (240 1-2 times per day), which is something that is also unsustainable. So, keep in mind that the severity of my sinus condition is drastic. What I found with this tea is that it seems to help, but I can't tell whether or not it works any better than domestic teas that tout similar claims (Yogi's Breathe Deep and Cold Buster, Celestial Sleepytime Sinus Soother, and other respiratory-aiding herbal formulations). I've brewed it double-strong to try and gain the greatest effect, and again, it seems to work modestly but nothing amazing. The taste is a little bitter, but I suppose that's a fairly reasonable indicator it has beneficial compounds in it. All in all, I am likely to stick with the less exotic teas that I can buy at the grocery store. As an aside, I find Celestial's Sweet and Spicy herbal mix to have probably the best mucus thinning effect out of all the teas I've tried, though it's not at all marketed as something for this purpose. If you read everything they put in it, though, it makes sense that it would help.",Negative,,,After Effect,0.289167549,0.128523499,0.235850183,0.210839264,0.119439938,0.202470861,0.099312388,0.289167549,1,After Effect,Train,,3,Flavor/Taste
7,7,5232,B0009OMU00,XXX,XXX,4,7,1,1214438400,Contains MSG,"The taste is great but it gave me a terrible migraine from the MSG.  Those who are sensitive beware.  Also, MSG addition is usually a way to fake true flavor.",Negative,,,After Effect,0.205873137,0.031666538,0.095108057,0.086484087,0.035321486,0.043659888,0.074852062,0.205873137,1,After Effect,Train,,4,Nutrition
8,8,8130,B0019GVYR2,XXX,XXX,7,8,4,1322006400,Seems to be helping my psoriasis,"Working to reduce m my body'd PH, helping to reduce the effects of my psoriasis, using twice a day first in the morning, last at night, mixing with a half a lemon and 10 oz of filtered water, seems to be helping",Positive,,,After Effect,0.2851759,0.060290231,0.081342814,0.102408603,0.034034791,0.040979819,0.062660762,0.2851759,1,After Effect,Train,,5,Packaging
9,9,9390,B006N3IG4K,XXX,XXX,3,3,3,1304035200,"Disappointed, this is not BOLD coffee","I was so excited to try a new BOLD coffee.....needless to say, I am disappointed. I would rate this coffee as a MEDIUM. If it would have been listed as a MEDIUM, I would have given it a higher rating because this is truly a MEDIUM strength coffee in taste and flavor. I will still drink it from time to time- flavor is smooth, not bitter. Overall, I wish that I would have ordered some more Jet Fuel or Black Tiger.",Negative,,,After Effect,0.406361844,0.10113657,0.179655704,0.071976655,0.109643713,0.111142687,0.095862184,0.406361844,1,After Effect,Train,,6,Price
10,10,9642,B001LXYA5Q,XXX,XXX,2,7,1,1256947200,Doesn't work for me,Dissolved an entire tab on my tongue and was disappointed to discover that it had no effect on ANY of the foods that I tried.,Negative,,,After Effect,0.291343359,0.019863764,0.05544914,0.032147301,0.032814414,0.012726358,0.02906408,0.291343359,1,After Effect,Train,,7,Texture
