country,ISO alpha-3 code,UN_region,UN_subregion,year,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,Percapita GDP (2010 USD),population,,
United States of America,USA,North America,North America,1961,BiocapPerCap,1.186466,0.525664234,2.71403473,0.543022203,0.037655858,0,5.006843209,17142.2,189077000,,FALSE
United States of America,USA,North America,North America,1961,BiocapTotGHA,224333466.7,99391016.28,513161544.7,102673009.1,7119856.665,0,946678893.4,17142.2,189077000,,
United States of America,USA,North America,North America,1961,EFConsPerCap,1.00004785,0.633423701,1.115385454,0.101876671,0.037655858,5.165382677,8.053772211,17142.2,189077000,189086047.4,FALSE
United States of America,USA,North America,North America,1961,EFConsTotGHA,189086047.4,119765853.1,210893735.4,19262535.41,7119856.665,976655060.4,1522783088,17142.2,189077000,189086047.4,FALSE
United States of America,USA,North America,North America,1961,EFExportsPerCap,0.27734317,0.007075026,0.03552101,0.010700897,0,0.142273579,0.472913682,17142.2,189077000,,
United States of America,USA,North America,North America,1961,EFExportsTotGHA,52439214.54,1337724.659,6716206.088,2023293.429,0,26900661.52,89417100.23,17142.2,189077000,189086047.4,
United States of America,USA,North America,North America,1961,EFImportsPerCap,0.090924836,0.114834493,0.115688862,0.036562221,0,0.179055498,0.537065911,17142.2,189077000,,
United States of America,USA,North America,North America,1961,EFImportsTotGHA,17191795.28,21712561.49,21874102.92,6913075.077,0,33855276.4,101546811.2,17142.2,189077000,,
United States of America,USA,North America,North America,1961,EFProdPerCap,1.186466184,0.525664234,1.035217602,0.076015347,0.037655858,5.128600758,7.989619983,17142.2,189077000,,
United States of America,USA,North America,North America,1961,EFProdTotGHA,224333466.7,99391016.28,195735838.6,14372753.77,7119856.665,969700445.5,1510653377,17142.2,189077000,,
United States of America,USA,North America,North America,1962,BiocapPerCap,1.136374252,0.516080515,2.67325613,0.533890211,0.037314852,0,4.89691596,17910.3,191861000,,
United States of America,USA,North America,North America,1962,BiocapTotGHA,218025900.3,99015723.73,512893594.4,102432709.8,7159264.888,0,939527193,17910.3,191861000,,
United States of America,USA,North America,North America,1962,EFConsPerCap,0.959395823,0.632262346,1.144372692,0.099382889,0.037314852,5.344006738,8.21673534,17910.3,191861000,,
United States of America,USA,North America,North America,1962,EFConsTotGHA,184070642,121306486,219560489.1,19067700.41,7159264.888,1025306477,1576471059,17910.3,191861000,,
United States of America,USA,North America,North America,1962,EFExportsPerCap,0.277928072,0.006966915,0.035299464,0.010482196,0,0.140457302,0.471133948,17910.3,191861000,,
United States of America,USA,North America,North America,1962,EFExportsTotGHA,53323557.84,1336679.227,6772590.442,2011124.562,0,26948278.42,90392230.48,17910.3,191861000,,
United States of America,USA,North America,North America,1962,EFImportsPerCap,0.100949644,0.123148746,0.12198807,0.035374387,0,0.178624385,0.560085232,17910.3,191861000,,
United States of America,USA,North America,North America,1962,EFImportsTotGHA,19368299.6,23627441.5,23404753.17,6786965.247,0,34271053.18,107458512.7,17910.3,191861000,,
United States of America,USA,North America,North America,1962,EFProdPerCap,1.136374252,0.516080515,1.057684085,0.074490698,0.037314852,5.305839655,8.127784057,17910.3,191861000,,
United States of America,USA,North America,North America,1962,EFProdTotGHA,218025900.3,99015723.73,202928326.3,14291859.73,7159264.888,1017983702,1559404777,17910.3,191861000,,
United States of America,USA,North America,North America,1963,BiocapPerCap,1.182538249,0.498952071,2.631883614,0.52482793,0.03883722,0,4.877039085,18431.2,194514000,,
United States of America,USA,North America,North America,1963,BiocapTotGHA,230020245,97053163.13,511938209.3,102086380,7554383.049,0,948652380.5,18431.2,194514000,,
United States of America,USA,North America,North America,1963,EFConsPerCap,0.98429987,0.617950505,1.10892918,0.09660034,0.03883722,5.607521109,8.454138224,18431.2,194514000,,
United States of America,USA,North America,North America,1963,EFConsTotGHA,191460104.9,120200024.4,215702250.5,18790118.54,7554383.049,1090741361,1644448242,18431.2,194514000,,
United States of America,USA,North America,North America,1963,EFExportsPerCap,0.299427718,0.007828579,0.04498261,0.011175258,0,0.157459486,0.520873651,18431.2,194514000,,
United States of America,USA,North America,North America,1963,EFExportsTotGHA,58242883.14,1522768.137,8749747.378,2173744.19,0,30628074.48,101317217.3,18431.2,194514000,,
United States of America,USA,North America,North America,1963,EFImportsPerCap,0.101189339,0.126827012,0.121759852,0.035944325,0,0.224144727,0.609865255,18431.2,194514000,,
United States of America,USA,North America,North America,1963,EFImportsTotGHA,19682743.06,24669629.45,23683995.88,6991674.438,0,43599287.44,118627330.3,18431.2,194514000,,
United States of America,USA,North America,North America,1963,EFProdPerCap,1.182538249,0.498952071,1.032151938,0.071831273,0.03883722,5.540835868,8.365146619,18431.2,194514000,,
United States of America,USA,North America,North America,1963,EFProdTotGHA,230020245,97053163.13,200768002,13972188.29,7554383.049,1077770148,1627138129,18431.2,194514000,,
United States of America,USA,North America,North America,1964,BiocapPerCap,1.100741637,0.489749405,2.595467293,0.517014682,0.036944299,0,4.739917316,19231.2,197029000,,
United States of America,USA,North America,North America,1964,BiocapTotGHA,216878024,96494835.45,511382325.4,101866885.8,7279098.246,0,933901168.8,19231.2,197029000,,
United States of America,USA,North America,North America,1964,EFConsPerCap,0.859679635,0.576498916,1.157294813,0.090448151,0.036944299,5.807491674,8.528357488,19231.2,197029000,,
United States of America,USA,North America,North America,1964,EFConsTotGHA,169381818.7,113587005,228020639.7,17820908.67,7279098.246,1144244277,1680333747,19231.2,197029000,,
United States of America,USA,North America,North America,1964,EFExportsPerCap,0.330066558,0.011298499,0.052146743,0.011207826,0,0.183414328,0.588133955,19231.2,197029000,,
United States of America,USA,North America,North America,1964,EFExportsTotGHA,65032683.9,2226131.967,10274420.71,2208266.749,0,36137941.65,115879445,19231.2,197029000,,
United States of America,USA,North America,North America,1964,EFImportsPerCap,0.089004556,0.098048011,0.121553756,0.032104353,0,0.245553241,0.586263917,19231.2,197029000,,
United States of America,USA,North America,North America,1964,EFImportsTotGHA,17536478.67,19318301.51,23949615.06,6325488.567,0,48381109.55,115510993.4,19231.2,197029000,,
United States of America,USA,North America,North America,1964,EFProdPerCap,1.100741637,0.489749405,1.0878878,0.069551624,0.036944299,5.745352761,8.530227525,19231.2,197029000,,
United States of America,USA,North America,North America,1964,EFProdTotGHA,216878024,96494835.45,214345445.4,13703686.85,7279098.246,1132001109,1680702199,19231.2,197029000,,
United States of America,USA,North America,North America,1965,BiocapPerCap,1.206847372,0.478252306,2.564809169,0.509034042,0.041214759,0,4.800157649,20207.8,199404000,,
United States of America,USA,North America,North America,1965,BiocapTotGHA,240650193.3,95365422.79,511433207.6,101503424.2,8218387.83,0,957170635.8,20207.8,199404000,,
