,Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95
2015,412404945.3,374267869.5,450542021.1,354079321.1,470730569.6
2016,412404945.3,371553401.2,453256489.4,349927900,474881990.6
2017,412404945.3,369008392.9,455801497.7,346035645.7,478774244.9
2018,412404945.3,366604586.5,458205304.1,342359341.1,482450549.5
2019,412404945.3,364320800.6,460489090,338866592,485943298.6
2020,412404945.3,362140673,462669217.7,335532374.5,489277516.2
2021,412404945.3,360051252.2,464758638.4,332336881.2,492473009.4
2022,412404945.3,358042078.5,466767812.1,329264115.2,495545775.4
2023,412404945.3,356104560,468705330.7,326300936.3,498508954.4
2024,412404945.3,354231536.5,470578354.1,323436394,501373496.6
